SYSCALL NAME,LOCATION,NUM INPUT PARAMETERS
alarm,kernel/time/timer.c,SYSCALL_DEFINE1
bind,net/socket.c,SYSCALL_DEFINE3
chdir,fs/open.c,SYSCALL_DEFINE1
chroot,fs/open.c,SYSCALL_DEFINE1
clock_gettime,kernel/time/posix-timers.c,SYSCALL_DEFINE2
clock_settime,kernel/time/posix-timers.c,SYSCALL_DEFINE2
close,fs/open.c,SYSCALL_DEFINE1
connect,net/socket.c,SYSCALL_DEFINE3
dup2,fs/file.c,SYSCALL_DEFINE2
fchown16,kernel/uid16.c,SYSCALL_DEFINE3
fchownat,fs/open.c,SYSCALL_DEFINE5
fchown,fs/open.c,SYSCALL_DEFINE3
faccessat,fs/open.c,SYSCALL_DEFINE3
fcntl,fs/fcntl.c,SYSCALL_DEFINE3
fcntl64,fs/fcntl.c,SYSCALL_DEFINE3
fork),kernel/fork.c,SYSCALL_DEFINE0
fstatfs,fs/statfs.c,SYSCALL_DEFINE2
fstatfs64,fs/statfs.c,SYSCALL_DEFINE3
fstat,fs/stat.c,SYSCALL_DEFINE2
fstat64,fs/stat.c,SYSCALL_DEFINE2
fstatat64,fs/stat.c,SYSCALL_DEFINE4
fstatat64,fs/stat.c,SYSCALL_DEFINE4
getcwd,fs/dcache.c,SYSCALL_DEFINE2
gethostname,kernel/sys.c,SYSCALL_DEFINE2
getpid,kernel/sys.c,SYSCALL_DEFINE0
getrlimit,kernel/sys.c,SYSCALL_DEFINE2
getsockname,net/socket.c,SYSCALL_DEFINE3
gettimeofday,kernel/time/time.c,SYSCALL_DEFINE2
getuid,kernel/sys.c,SYSCALL_DEFINE0
getuid16,kernel/uid16.c,SYSCALL_DEFINE0
ioctl,fs/ioctl.c,SYSCALL_DEFINE3
kill,kernel/signal.c,SYSCALL_DEFINE2
listen,net/socket.c,SYSCALL_DEFINE2
lstat,fs/stat.c,SYSCALL_DEFINE2
lstat64,fs/stat.c,SYSCALL_DEFINE2
mmap,arch/sparc/kernel/sys_sparc_64.c,SYSCALL_DEFINE6
mmap,arch/microblaze/kernel/sys_microblaze.c,SYSCALL_DEFINE6
mmap2,arch/microblaze/kernel/sys_microblaze.c,SYSCALL_DEFINE6
mmap2,arch/s390/kernel/sys_s390.c,SYSCALL_DEFINE1
mmap,arch/x86/kernel/sys_x86_64.c,SYSCALL_DEFINE6
mmap2,arch/tile/kernel/sys.c,SYSCALL_DEFINE6
mmap,arch/tile/kernel/sys.c,SYSCALL_DEFINE6
mmap_pgoff,mm/mmap.c,SYSCALL_DEFINE6
mmap_pgoff,mm/nommu.c,SYSCALL_DEFINE6
munmap,mm/mmap.c,SYSCALL_DEFINE2
munmap,mm/nommu.c,SYSCALL_DEFINE2
nice,kernel/sched/core.c,SYSCALL_DEFINE1
open,fs/open.c,SYSCALL_DEFINE3
openat,fs/open.c,SYSCALL_DEFINE4
open_by_handle_at,fs/fhandle.c,SYSCALL_DEFINE3
openat,fs/open.c,SYSCALL_DEFINE4
pipe2,fs/pipe.c,SYSCALL_DEFINE2
pipe,fs/pipe.c,SYSCALL_DEFINE1
readahead,mm/readahead.c,SYSCALL_DEFINE3
readlinkat,fs/stat.c,SYSCALL_DEFINE4
readlink,fs/stat.c,SYSCALL_DEFINE3
read,fs/read_write.c,SYSCALL_DEFINE3
readv,fs/read_write.c,SYSCALL_DEFINE3
readlinkat,fs/stat.c,SYSCALL_DEFINE4
readlink,fs/stat.c,SYSCALL_DEFINE3
readv,fs/read_write.c,SYSCALL_DEFINE3
recvfrom,net/socket.c,SYSCALL_DEFINE6
recv,net/socket.c,SYSCALL_DEFINE4
recvmsg,net/socket.c,SYSCALL_DEFINE3
recvmmsg,net/socket.c,SYSCALL_DEFINE5
recvfrom,net/socket.c,SYSCALL_DEFINE6
select,fs/select.c,SYSCALL_DEFINE5
sendto,net/socket.c,SYSCALL_DEFINE6
send,net/socket.c,SYSCALL_DEFINE4
sendmsg,net/socket.c,SYSCALL_DEFINE3
sendmmsg,net/socket.c,SYSCALL_DEFINE4
sendfile,fs/read_write.c,SYSCALL_DEFINE4
sendfile64,fs/read_write.c,SYSCALL_DEFINE4
sendmsg,net/socket.c,SYSCALL_DEFINE3
setgid,kernel/sys.c,SYSCALL_DEFINE1
setgid16,kernel/uid16.c,SYSCALL_DEFINE1
setrlimit,kernel/sys.c,SYSCALL_DEFINE2
setsid,kernel/sys.c,SYSCALL_DEFINE0
setsockopt,net/socket.c,SYSCALL_DEFINE5
setuid,kernel/sys.c,SYSCALL_DEFINE1
setuid16,kernel/uid16.c,SYSCALL_DEFINE1
shutdown,net/socket.c,SYSCALL_DEFINE2
socket,net/socket.c,SYSCALL_DEFINE3
socketpair,net/socket.c,SYSCALL_DEFINE4
socketcall,net/socket.c,SYSCALL_DEFINE2
statfs,fs/statfs.c,SYSCALL_DEFINE2
statfs64,fs/statfs.c,SYSCALL_DEFINE3
stat,fs/stat.c,SYSCALL_DEFINE2
stat64,fs/stat.c,SYSCALL_DEFINE2
syslog,kernel/printk/printk.c,SYSCALL_DEFINE3
timer_create,kernel/time/posix-timers.c,SYSCALL_DEFINE3
timer_gettime,kernel/time/posix-timers.c,SYSCALL_DEFINE2
timer_getoverrun,kernel/time/posix-timers.c,SYSCALL_DEFINE1
timer_settime,kernel/time/posix-timers.c,SYSCALL_DEFINE4
timer_delete,kernel/time/posix-timers.c,SYSCALL_DEFINE1
time,kernel/time/time.c,SYSCALL_DEFINE1
times,kernel/sys.c,SYSCALL_DEFINE1
timerfd_create,fs/timerfd.c,SYSCALL_DEFINE2
timerfd_settime,fs/timerfd.c,SYSCALL_DEFINE4
timerfd_gettime,fs/timerfd.c,SYSCALL_DEFINE2
waitpid,kernel/exit.c,SYSCALL_DEFINE3
write,fs/read_write.c,SYSCALL_DEFINE3
writev,fs/read_write.c,SYSCALL_DEFINE3
